Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2,error
1,,,,,,,,,,,999999.0,,,,Invalid value received for argument `rate`. Expected a float value between 0 and 1. Received: rate=6
1,"[128, 64]",0.4,0.0001,32.0,40.0,250.15597177,16.18359619,4.40835116,0.01728445,0.87513401,15.30314824,3.92975219,0.00923042,0.24715301,
1,"[128, 64]",0.4,0.0005,32.0,22.0,138.33773017,16.11674829,4.33214694,0.01709807,0.87616343,15.36615134,4.21963632,0.00968283,0.2409413,
1,"[128, 64]",0.4,0.002,32.0,11.0,75.05201674,16.40640296,4.87032837,0.01793861,0.87167218,15.59771701,5.49784949,0.01162104,0.21789111,
1,"[128, 64]",0.2,0.0001,32.0,26.0,160.90153241,16.21811371,4.44779285,0.01732882,0.8746008,15.50000937,4.69973429,0.01041666,0.22765904,
1,"[128, 64]",0.2,0.0005,32.0,31.0,199.16222262,15.83576414,4.16378276,0.01662833,0.88044379,15.32782479,4.32451829,0.00984544,0.2447231,
1,"[128, 64]",0.2,0.002,32.0,12.0,76.93347621,16.191616,4.82442876,0.01778191,0.87501023,15.72510251,5.14043903,0.01112055,0.20506409,
1,"[128, 64]",0.0,0.0001,32.0,30.0,171.56257153,16.01301497,4.12114907,0.01674307,0.87775241,15.28543982,4.15049541,0.0095777,0.24889435,
1,"[128, 64]",0.0,0.0005,32.0,21.0,117.61885643,15.79812041,4.03033813,0.01648221,0.88101152,15.31635105,4.37731978,0.00993474,0.24585341,
1,"[128, 64]",0.0,0.002,32.0,24.0,150.73374438,14.88121658,4.04555791,0.01537708,0.8944226,15.27482295,3.96411191,0.00928647,0.24993739,
1,,,,,,,,,,,999999.0,,,,"Exception encountered when calling Dropout.call().

[1m`rate` must be a scalar tensor or a float in the range [0, 1). Received: rate=1[0m

Arguments received by Dropout.call():
  • inputs=tf.Tensor(shape=(None, 1, 128), dtype=float32)
  • training=True"
1,,,,,,,,,,,999999.0,,,,"Exception encountered when calling Dropout.call().

[1m`rate` must be a scalar tensor or a float in the range [0, 1). Received: rate=1[0m

Arguments received by Dropout.call():
  • inputs=tf.Tensor(shape=(None, 1, 128), dtype=float32)
  • training=True"
1,,,,,,,,,,,999999.0,,,,"Exception encountered when calling Dropout.call().

[1m`rate` must be a scalar tensor or a float in the range [0, 1). Received: rate=1[0m

Arguments received by Dropout.call():
  • inputs=tf.Tensor(shape=(None, 1, 128), dtype=float32)
  • training=True"
1,"[64, 32, 8]",0.0,0.0001,32.0,40.0,275.64574528,15.97363787,4.19542379,0.01682822,0.8783529,15.47205735,4.5686846,0.01022813,0.23044214,
1,"[64, 32, 8]",0.0,0.0005,32.0,26.0,169.49195385,15.57617252,4.08725694,0.01635668,0.88433137,15.56988252,4.75783904,0.01052449,0.22068,
1,"[64, 32, 8]",0.0,0.002,32.0,28.0,184.8105433,15.55015203,4.05999826,0.01638141,0.88471751,15.53316827,4.61175172,0.01030693,0.22435099,
1,,,,,,,,,,,999999.0,,,,Invalid value received for argument `rate`. Expected a float value between 0 and 1. Received: rate=6
1,,,,,,,,,,,999999.0,,,,Invalid value received for argument `rate`. Expected a float value between 0 and 1. Received: rate=6
1,,,,,,,,,,,999999.0,,,,Invalid value received for argument `rate`. Expected a float value between 0 and 1. Received: rate=6
1,"[64, 32, 8]",0.4,0.0001,32.0,36.0,270.37981629,16.74258951,5.38376296,0.01902266,0.86635912,15.57955725,4.86385417,0.01065332,0.2197112,
1,"[64, 32, 8]",0.4,0.0005,32.0,18.0,130.0630877,16.65826994,5.15138944,0.0185587,0.86770182,15.43555512,4.97803243,0.01082089,0.23406899,
