learning_rate,n_estimators,max_depth,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
0.05,100,2,1.678,16.52653773,4.51087538,0.01585883,0.86119119,15.1116399,3.72055265,0.00890903,0.26575025
0.05,100,3,1.9437,15.96921634,4.09948355,0.014863,0.87039538,14.93551744,3.17730382,0.00808218,0.28276552
0.05,100,4,1.5772,15.11828367,3.80688214,0.01348755,0.88383956,14.83061506,2.941404,0.00772232,0.29280539
0.05,100,5,1.6751,13.99823602,3.5417708,0.0119876,0.90041363,14.87814415,2.6749089,0.00731241,0.2882653
0.05,100,6,1.9054,12.44063351,3.27147662,0.01049315,0.92134284,14.86834696,2.53936133,0.00710629,0.28920234
0.05,100,7,3.3145,10.4896103,2.9448972,0.00903163,0.94407938,14.93632145,2.56331295,0.00713642,0.2826883
0.05,100,8,2.8012,8.98053953,2.6521687,0.00790749,0.95901187,15.00830143,2.54257595,0.00710592,0.27575801
0.05,100,9,3.9864,7.71144645,2.40376992,0.0069114,0.96977788,14.97074146,2.51292471,0.00705783,0.27937847
0.05,200,1,1.5836,16.59080277,4.55427788,0.01603825,0.86010955,15.1101491,3.68481138,0.0088543,0.26589512
0.05,200,2,1.7782,16.09385996,4.14123806,0.01493254,0.8683643,15.06789415,3.70996824,0.00889631,0.26999517
0.05,200,3,1.9632,15.38723403,3.88414392,0.01398286,0.87966987,14.9854122,3.37198719,0.00837801,0.27796541
0.05,200,4,3.0168,14.19515235,3.62629517,0.01246291,0.89759212,14.96850192,3.15881972,0.00805387,0.27959405
0.05,200,5,2.4651,12.53097215,3.32577632,0.01072301,0.92019634,15.48561301,3.19612453,0.00809435,0.2289591
0.05,200,6,3.7112,10.83932227,3.03406601,0.00925089,0.94028856,15.0599503,2.81921718,0.00752669,0.27076469
0.05,200,7,3.4625,8.53082898,2.65968706,0.00750561,0.96301414,15.18616758,2.85214452,0.00757483,0.25849004
0.05,200,8,4.2977,7.11763767,2.34875788,0.00632404,0.9742531,15.12858409,2.74835014,0.00742162,0.26410275
0.05,200,9,5.8368,5.70540097,2.03098478,0.00513461,0.98345657,15.13407632,2.83123779,0.00754466,0.26356834
0.05,500,1,3.1293,16.28808364,4.16043635,0.01521443,0.86516792,15.09649942,3.67310932,0.00883989,0.26722082
0.05,500,2,5.9174,15.63952866,3.95120048,0.01429447,0.87569157,15.40970454,4.2486517,0.00970844,0.23649965
0.05,500,3,4.1654,14.2738559,3.684711,0.01279281,0.89645339,17.64533561,4.71661097,0.01039087,-0.00110691
0.05,500,4,4.7093,12.0802412,3.37197341,0.0106593,0.92583407,17.45629394,4.14540517,0.00951823,0.02022872
0.05,500,5,5.6245,9.53333945,2.99271426,0.00860682,0.95381049,18.92508651,4.466095,0.01000606,-0.15158596
0.05,500,6,6.5146,7.43672837,2.6016379,0.00680136,0.97189283,17.17095733,4.30063938,0.00977155,0.05199717
0.05,500,7,10.1854,5.44618507,2.12687092,0.00501901,0.98492567,15.69301078,3.79474369,0.00899755,0.2081678
0.05,500,8,9.7802,4.13920977,1.73711152,0.00382428,0.99129261,15.40513087,3.36863654,0.00837173,0.23695281
0.05,500,9,13.5339,2.96835014,1.34041426,0.0028058,0.99552201,15.3623792,3.46329664,0.00851651,0.24118208
0.05,1000,1,10.9033,16.20112392,4.11846879,0.01508757,0.86660377,15.135331,3.78503258,0.00900993,0.26344622
0.05,1000,2,10.1316,15.27603748,3.87185709,0.01392991,0.88140273,15.40195083,4.09097263,0.00946811,0.2372678
0.05,1000,3,10.545,12.98976225,3.5282959,0.01150821,0.91424575,19.12391596,4.71422766,0.01037787,-0.1759105
0.05,1000,4,11.6357,9.99707526,3.1012588,0.00898087,0.94920755,18.04448302,4.22594259,0.00964422,-0.04691037
0.05,1000,5,12.0302,7.18307621,2.60081707,0.00658388,0.97377749,20.16447234,5.09391887,0.01096353,-0.30735743
0.05,1000,6,13.3255,5.07234056,2.08751904,0.00472894,0.98692415,17.45175548,4.77220202,0.01049432,0.02073811
0.05,1000,7,17.9183,3.28790872,1.53177489,0.00312708,0.99450595,15.80907552,4.32648033,0.00980871,0.19641178
0.05,1000,8,27.1152,2.13910975,1.06603596,0.00210688,0.99767448,15.5143848,3.79533775,0.00901818,0.22609129
0.05,1000,9,35.5618,1.25137734,0.65615318,0.0012121,0.99920415,15.49908479,3.76131079,0.00897626,0.22761697
0.05,2000,1,15.8251,16.13817445,4.10001981,0.01504897,0.86763838,15.16359241,3.97999487,0.00930661,0.260693
0.05,2000,2,20.3599,14.61306106,3.79104539,0.0130493,0.89147354,16.51902397,4.25949885,0.00971241,0.12261667
0.05,2000,3,23.8887,11.21412739,3.33562524,0.01000254,0.93608773,20.82864012,4.99527355,0.01080246,-0.39489799
0.05,2000,4,22.8397,7.48552873,2.72357666,0.00693158,0.97152274,19.33137993,5.18377412,0.01109718,-0.20156239
0.05,2000,5,29.871,4.61191256,2.0402497,0.00437882,0.98919026,20.60918362,5.46452524,0.01152706,-0.36565875
