Model,Semua Variabel Signifikan,P-value Ljung Box,White Noise?,P-value Lillie Test,Distribusi Normal?,Training Time (s),RMSE Training,RMSE Testing,MAE Training,MAE Testing,MAPE Training,MAPE Testing,R² Training,R² Testing
"SARIMAX(1, 0, 1)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,315.83264661,28.83644743,31.53386120,16.74411566,21.35129941,0.03497550,3.58370728,0.57739292,-2.19723764
"SARIMAX(1, 0, 1)x(0, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,401.58182931,24.42839051,29.17288228,10.65863671,19.05732942,0.02545792,3.21798998,0.69672056,-1.73639818
"SARIMAX(1, 0, 1)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,492.83318114,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(1, 0, 2)",Ya,0.000000,Tidak,0.001000,Tidak,91.41448951,28.08336914,26.06744778,14.09460613,13.80391710,0.03085201,2.44161580,0.59917788,-1.18482994
"SARIMAX(1, 0, 2)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,403.63461542,25.14048355,57.15563878,11.57722615,51.14592295,0.02688549,8.09488787,0.67878153,-9.50361464
"SARIMAX(1, 0, 2)x(0, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,458.13357615,25.66978610,63.88861862,11.54966254,58.76388984,0.02687686,9.24359255,0.66511341,-12.12404196
"SARIMAX(1, 0, 2)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,180.68232584,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(1, 0, 3)",Ya,0.000000,Tidak,0.001000,Tidak,106.47048235,24.89696952,45.37483499,11.49764957,38.24099914,0.02677152,6.13529000,0.68497412,-5.61988937
"SARIMAX(1, 0, 3)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,420.15140271,24.91127585,45.19698073,11.29565025,37.96681034,0.02645959,6.09186874,0.68461197,-5.56809555
"SARIMAX(1, 0, 3)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,436.15772295,24.89267734,47.33328187,11.45061310,40.43162039,0.02670095,6.46787447,0.68508273,-6.20367066
"SARIMAX(1, 0, 3)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,675.42950106,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(1, 0, 5)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,414.80041695,24.84567400,68.71854029,12.05576261,59.10694904,0.02767315,9.30157678,0.68627089,-14.18338015
"SARIMAX(1, 0, 5)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,576.23440766,24.80545715,70.52368797,11.47238756,61.94800280,0.02675394,9.72914318,0.68728571,-14.99155311
"SARIMAX(1, 0, 5)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,771.81016564,25.43805279,65.39667036,11.74517129,53.36397416,0.02708524,8.42525277,0.67113248,-12.75092421
"SARIMAX(1, 0, 6)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,786.1575563,25.34576759,62.25983480,12.29167854,53.04447369,0.02792926,8.38338156,0.67351431,-11.46340025
"ARIMAX(1, 0, 7)",Ya,0.000000,Tidak,0.001000,Tidak,170.19621873,25.83917518,34.52377569,11.76931794,28.90545978,0.02712301,4.76926777,0.66067915,-2.83227959
"SARIMAX(1, 0, 7)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,1113.48976922,27.92753224,38.51761192,13.44983830,27.05287109,0.02972002,4.45234627,0.60361393,-3.77023001
"ARIMAX(1, 0, 8)",Ya,0.000000,Tidak,0.001000,Tidak,187.31060719,25.76695094,36.16202351,11.71415730,31.05704965,0.02705194,5.09930886,0.66257340,-3.20461333
"ARIMAX(1, 0, 9)",Ya,0.000000,Tidak,0.001000,Tidak,222.50879836,25.75140013,33.76886529,11.68882495,27.40533525,0.02701511,4.53880884,0.66298056,-2.66651570
"SARIMAX(1, 0, 9)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,2500.20636368,Error,Error,Error,Error,Error,Error,Error,Error
