learning_rate,n_estimators,max_depth,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
0.03,2000,3,3.0553,12.99541021,3.51570548,0.01127789,0.91417116,22.81424319,5.28543577,0.0112314,-0.67352709
0.03,2000,4,3.5278,10.29735972,3.09988441,0.0087162,0.94611039,35.04829384,7.81999053,0.01502229,-2.94961148
0.03,2000,5,4.5916,7.743685,2.62139817,0.00656506,0.96952466,31.69061274,7.35973986,0.01435554,-2.22910292
0.03,2000,6,5.2659,5.51470274,2.09644238,0.0047622,0.98454399,30.0458495,7.93536947,0.01518241,-1.90261603
0.03,2000,7,7.1085,3.64532116,1.55900506,0.00325199,0.99324656,20.61034565,6.3367569,0.01281274,-0.36581276
0.03,2000,8,9.5145,2.26458566,1.0451307,0.00207129,0.99739366,17.73891122,4.99661999,0.01083816,-0.01175308
0.03,2000,9,12.9426,1.37994878,0.66812405,0.0012583,0.99903221,16.79912672,5.05766785,0.01090886,0.09260992
0.03,3000,1,3.4979,16.22013969,4.16610023,0.01511815,0.86629045,15.15841639,3.9597722,0.00928347,0.26119763
0.03,3000,2,4.1516,14.86912841,3.85982896,0.01345252,0.88763675,21.21256072,5.67769331,0.01184232,-0.44679437
0.03,3000,3,4.9939,12.09826984,3.39050364,0.01033461,0.92561253,26.17098691,5.88501299,0.01212731,-1.20222057
0.03,3000,4,5.3062,9.07763558,2.90015068,0.00766814,0.95812076,38.13700112,8.71290879,0.01637524,-3.67642198
0.03,3000,5,6.6605,6.36150237,2.3342549,0.00541577,0.97943292,33.09356794,8.49737231,0.01603126,-2.5213387
0.03,3000,6,8.03,4.13349135,1.7287368,0.00364897,0.99131665,30.57705081,8.54496641,0.0160884,-2.00615801
0.03,3000,7,10.7316,2.45889514,1.15342582,0.00226431,0.99692721,20.90541249,6.59480874,0.01320592,-0.40519986
0.03,3000,8,14.8572,1.3316356,0.66677073,0.00123822,0.99909879,17.88207385,5.18324068,0.01112331,-0.02814977
0.03,3000,9,20.3718,0.67185549,0.34968027,0.00062644,0.99977059,16.87559288,5.05423723,0.01090609,0.08433062
0.05,50,1,0.1883,21.95700808,10.51120468,0.02572641,0.7549811,16.03581112,6.77905567,0.01351166,0.17319617
0.05,50,2,0.1945,17.81004909,6.47728015,0.01925347,0.83879315,15.26343666,4.49137086,0.0100604,0.25092505
0.05,50,3,0.2436,17.0643822,5.75798465,0.01792484,0.85200931,15.08218408,4.09213369,0.00945896,0.26860988
0.05,50,4,0.4547,16.4437491,5.47303694,0.0168958,0.86257842,15.01044436,4.10598652,0.00947817,0.27555118
0.05,50,5,0.4491,15.67845041,5.22644129,0.01558051,0.87507207,14.99191482,4.05641417,0.00940418,0.27733865
0.05,50,6,0.4753,14.7056058,4.98050881,0.01431082,0.89009458,14.98214536,3.92273007,0.00919931,0.27828019
0.05,50,7,0.428,13.30042926,4.74437544,0.01323972,0.91009485,14.92002863,3.69122987,0.0088444,0.28425236
0.05,50,8,0.4032,12.25121067,4.54857041,0.0125577,0.9237199,14.9166397,3.61240692,0.00872555,0.28457747
0.05,50,9,0.4911,11.30207197,4.37961969,0.01196929,0.93508136,14.99530273,3.62388816,0.00874061,0.277012
0.05,100,1,0.2394,17.87250266,6.37244358,0.01908816,0.83766058,15.14525898,4.19137266,0.00961054,0.26247963
