sequence_length,lstm_units,dropout_rate,learning_rate,batch_size,epochs,train_rmse,train_r2,val_rmse,val_r2,test_rmse,test_r2,test_mae,test_mape,epochs_trained,final_train_loss,final_val_loss,best_val_loss
24,[48],0.4,0.0005,32,40,14.686184718661718,0.9008921489315029,22.39025484841215,0.6847397923985035,24.44699883625531,0.24199568430532536,4.304272452990214,1.9279098382661441,22,0.07767081260681152,0.1659996509552002,0.16572673618793488
24,[48],0.5,0.0005,32,40,14.94664827455121,0.8973455651347481,22.454352030463948,0.6829322011018695,24.509964936666247,0.23808599858607082,4.122283220291138,1.9002183604597274,18,0.0816512256860733,0.16668283939361572,0.16667695343494415
24,[48],0.6,0.0005,32,40,15.331339214289901,0.8919934056031561,22.524172307727294,0.6809573340889394,24.489351181154,0.23936705340373476,4.8147125244140625,1.9950397912122169,15,0.0886382982134819,0.16834920644760132,0.1677151322364807
24,[48],0.7,0.0005,32,40,16.584262116497264,0.8736188236889301,22.855297591612764,0.6715079642838719,24.706101030799143,0.22584307911268087,4.967172980308533,2.0246565544852926,12,0.09386873990297318,0.1763647198677063,0.17268253862857819
24,[48],0.8,0.0005,32,40,16.554489830440726,0.8740721786976212,22.97253087200425,0.6681294070538524,24.771286445635933,0.22175256619885575,4.678957939147949,1.9850154634665524,13,0.10488690435886383,0.17447243630886078,0.1744096875190735
36,[32],0.4,0.0005,32,40,14.585105561420743,0.9015102806662096,22.467027433118265,0.6827050584013782,24.381081794178534,0.25060218612178564,4.250900829245099,1.921309658455785,15,0.07889813184738159,0.16709035634994507,0.16686518490314484
36,[32],0.5,0.0005,32,40,14.758746572758774,0.8991512087606335,22.426874332953318,0.6838381847842052,24.513392925250187,0.24244645976481405,4.317796081382771,1.932565474543445,14,0.08237247169017792,0.16831433773040771,0.16626928746700287
36,[32],0.6,0.0005,32,40,15.492588089686416,0.8888729732489707,22.83763838417958,0.6721506694070147,24.649097722234274,0.2340356936684932,5.012427422631131,2.03165561385795,11,0.08849833905696869,0.17991913855075836,0.17241576313972473
36,[32],0.7,0.0005,32,40,16.303925417898295,0.8769288931797251,22.9256183664577,0.6696197826636168,24.618691849212446,0.23592423734950851,5.118288655919353,2.04742816443448,10,0.10147904604673386,0.1758808046579361,0.17374669015407562
36,[32],0.8,0.0005,32,40,19.745699985775282,0.8194835373621967,24.315326834837794,0.6283517087505325,26.14887184378978,0.13798982515141234,10.205289625433174,2.790017899315404,8,0.12926508486270905,0.2078113853931427,0.1954496055841446
36,[64],0.4,0.0005,32,40,14.62551911776382,0.9009637183809852,22.429696018653637,0.6837586226141885,24.472494638126147,0.24497216450790504,4.200936144731176,1.9190822154775813,16,0.07200290262699127,0.16632913053035736,0.16631115972995758
36,[64],0.5,0.0005,32,40,14.388577836883748,0.9041466076955966,22.37471036415161,0.6853072325591169,24.491530905123824,0.2437970900609977,4.091386850111753,1.9050855924615706,19,0.07343325763940811,0.1662096530199051,0.16549675166606903
36,[64],0.6,0.0005,32,40,14.676335533500206,0.9002743190055993,22.352261410943267,0.6859383897105753,24.374444399112416,0.25101015590245956,4.227256033990014,1.9175668552045004,18,0.07695621252059937,0.16662701964378357,0.16516485810279846
36,[64],0.7,0.0005,32,40,15.047118600771517,0.8951717261557043,22.526846570298613,0.6810131944004358,24.55379157813648,0.23994746986288829,4.49334084017696,1.963988692486439,16,0.08304977416992188,0.16845199465751648,0.16775499284267426
36,[64],0.8,0.0005,32,40,17.210392857426527,0.8628634200671343,22.980726377071566,0.6680295547791628,24.875749719368248,0.21988462704915823,4.610574116544147,1.9891145216044757,13,0.09463715553283691,0.18054108321666718,0.17458301782608032
36,[48],0.4,0.0005,32,40,14.468638235144097,0.9030769522072267,22.421274783388885,0.6839960438523831,24.583060605266695,0.23813436844593172,3.888131850034859,1.8745616914269543,15,0.07421839982271194,0.1661369353532791,0.1661369353532791
36,[48],0.5,0.0005,32,40,14.701849557918466,0.8999272820890781,22.515575358649823,0.6813323219200725,24.661127694434875,0.23328785470193358,4.2691951961967884,1.9325664688030157,15,0.07695868611335754,0.16799820959568024,0.16758716106414795
