Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
15,27,15-27,manggarai_cuaca_lag1_hujan,1.0,15-53,15-54,15-54,4313.75,355.0,
15,28,15-28,manggarai_air_lag1,820.0,15-55,15-56,15-56,4847.79688,193.0,
15,29,15-29,manggarai_air_lag1,580.0,15-57,15-58,15-58,2850.15625,1843.0,
15,30,15-30,hour_sin,0.5,15-59,15-60,15-60,33280.4531,6.0,
15,31,15-31,manggarai_air_lag1,585.0,15-61,15-62,15-62,4385.0625,3369.0,
15,32,15-32,dayofyear_cos,-0.29959476,15-63,15-64,15-64,653.515137,22.0,
15,33,15-33,time_index,26957.0,15-65,15-66,15-66,1143.53125,3335.0,
15,34,15-34,manggarai_air_lag3,620.0,15-67,15-68,15-68,3737.80078,1773.0,
15,35,15-35,manggarai_air_lag17,640.0,15-69,15-70,15-70,1527.39673,36.0,
15,36,15-36,hour_sin,0.965925813,15-71,15-72,15-72,29.7825928,6.0,
15,37,15-37,Leaf,,,,,-14.7405491,2.0,
15,38,15-38,depok_air_lag20,86.0,15-73,15-74,15-74,813.445374,6.0,
15,39,15-39,manggarai_air_lag1,625.0,15-75,15-76,15-76,3069.23486,72.0,
15,40,15-40,manggarai_air_lag4,598.0,15-77,15-78,15-78,7862.42578,4316.0,
15,41,15-41,depok_air_lag6,125.0,15-79,15-80,15-80,2119.41602,235.0,
15,42,15-42,Leaf,,,,,-2.87557077,1.0,
