Model,Semua Variabel Signifikan,P-value Ljung Box,White Noise?,P-value Lillie Test,Distribusi Normal?,Training Time (s),RMSE Training,RMSE Testing,MAE Training,MAE Testing,MAPE Training,MAPE Testing,R² Training,R² Testing
"SARIMA(2, 0, 2)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,213.12,20.1540,81.1803,5.8153,67.7665,0.02,11.63,0.8029,-6.8750
"ARIMA(2, 0, 3)",Tidak,0.000000,Tidak,0.001000,Tidak,15.77,19.7438,40.2192,6.0265,31.0451,0.02,5.86,0.8108,-0.9329
"SARIMA(2, 0, 3)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,172.01,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(2, 0, 3)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,87.42,19.9501,107.0460,5.5771,88.6480,0.02,14.50,0.8069,-12.6928
"SARIMA(2, 0, 3)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,139.21,19.9026,54.4875,5.8705,44.1773,0.02,7.85,0.8078,-2.5477
"ARIMA(2, 0, 4)",Ya,0.000239,Tidak,0.001000,Tidak,75.96,19.5747,34.9756,5.7835,21.3185,0.02,4.43,0.8141,-0.4618
"SARIMA(2, 0, 4)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,396.65,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(2, 0, 4)x(0, 0, 1, 24)",Ya,0.000006,Tidak,0.001000,Tidak,91.96,19.8987,57.7558,5.5680,47.7419,0.02,8.42,0.8078,-2.9860
"SARIMA(2, 0, 4)x(1, 0, 1, 24)",Ya,0.005611,Tidak,0.001000,Tidak,237.49,19.8510,56.9748,5.8061,47.7076,0.02,8.58,0.8088,-2.8790
"ARIMA(2, 0, 5)",Tidak,0.394305,Ya,0.001000,Tidak,40.09,19.5693,35.8655,5.8158,23.7793,0.02,4.78,0.8142,-0.5371
"SARIMA(2, 0, 5)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,217.71,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(2, 0, 5)x(0, 0, 1, 24)",Tidak,0.521602,Ya,0.001000,Tidak,83.54,19.8766,55.5394,5.6091,43.7664,0.02,7.95,0.8083,-2.6860
"SARIMA(2, 0, 5)x(1, 0, 1, 24)",Tidak,0.922233,Ya,0.001000,Tidak,266.83,19.8446,77.0968,5.8170,72.3085,0.02,12.41,0.8089,-6.1027
"ARIMA(2, 0, 6)",Tidak,0.901771,Ya,0.001000,Tidak,44.43,19.5680,36.0563,5.8116,23.9102,0.02,4.79,0.8142,-0.5535
"SARIMA(2, 0, 6)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,329.86,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(2, 0, 6)x(0, 0, 1, 24)",Tidak,0.970663,Ya,0.001000,Tidak,68.56,19.8739,60.8853,5.6260,51.9665,0.02,9.24,0.8083,-3.4297
"SARIMA(2, 0, 6)x(1, 0, 1, 24)",Tidak,0.998963,Ya,0.001000,Tidak,650.89,19.8438,81.4702,5.8208,77.0218,0.02,13.15,0.8089,-6.9314
"ARIMA(2, 0, 7)",Tidak,0.998152,Ya,0.001000,Tidak,128.65,19.5679,36.1316,5.7834,22.7709,0.02,4.63,0.8142,-0.5600
"SARIMA(2, 0, 7)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,192.74,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(2, 0, 7)x(0, 0, 1, 24)",Tidak,0.999971,Ya,0.001000,Tidak,79.21,19.8703,75.9376,5.6818,71.0142,0.02,12.21,0.8084,-5.8907
"SARIMA(2, 0, 7)x(1, 0, 1, 24)",Tidak,0.999998,Ya,0.001000,Tidak,536.32,19.8432,93.5294,5.8538,89.4420,0.02,15.08,0.8089,-9.4531
