Model,Semua Variabel Signifikan,P-value Ljung Box,White Noise?,P-value Lillie Test,Distribusi Normal?,Training Time (s),RMSE Training,RMSE Testing,MAE Training,MAE Testing,MAPE Training,MAPE Testing,R² Training,R² Testing
"SARIMA(1, 0, 5)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,79.37,20.1404,80.5009,5.5424,63.6681,0.02,10.97,0.8031,-6.7437
"SARIMA(1, 0, 5)x(0, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,23.62,20.1404,80.4564,5.5419,63.6279,0.02,10.96,0.8031,-6.7352
"SARIMA(1, 0, 5)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,87.75,20.0952,128.5025,5.9071,124.9095,0.02,20.51,0.8040,-18.7321
"ARIMA(1, 0, 6)",Tidak,0.000000,Tidak,0.001000,Tidak,33.58,19.7124,40.0670,5.9975,30.8339,0.02,5.83,0.8114,-0.9183
"SARIMA(1, 0, 6)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,100.85,20.0868,93.6691,5.6477,82.3674,0.02,13.89,0.8042,-9.4844
"SARIMA(1, 0, 6)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,28.26,20.0869,93.5376,5.6475,82.1885,0.02,13.86,0.8042,-9.4549
"SARIMA(1, 0, 6)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,126.22,20.0454,140.1202,5.9591,137.1721,0.02,22.42,0.8050,-22.4613
"ARIMA(1, 0, 7)",Ya,0.000000,Tidak,0.001000,Tidak,36.38,19.6811,39.9361,5.9754,30.5670,0.02,5.79,0.8120,-0.9058
"SARIMA(1, 0, 7)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,98.24,20.0289,106.2382,5.7242,99.7410,0.02,16.60,0.8053,-12.4869
"SARIMA(1, 0, 7)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,28.27,20.0289,106.2338,5.7242,99.7373,0.02,16.60,0.8053,-12.4858
"SARIMA(1, 0, 7)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,138.19,19.9937,146.7813,5.9735,144.0671,0.02,23.50,0.8060,-24.7449
"ARIMA(1, 0, 8)",Ya,0.000000,Tidak,0.001000,Tidak,54.91,19.6507,39.7927,5.9507,29.8441,0.02,5.68,0.8126,-0.8922
"SARIMA(1, 0, 8)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,103.54,19.9838,113.7554,5.7563,109.2644,0.02,18.09,0.8062,-14.4630
"SARIMA(1, 0, 8)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,35.77,19.9838,113.7549,5.7563,109.2640,0.02,18.09,0.8062,-14.4629
"SARIMA(1, 0, 8)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,156.49,19.9532,148.2352,5.9632,145.4896,0.02,23.73,0.8068,-25.2574
"ARIMA(1, 0, 9)",Ya,0.000000,Tidak,0.001000,Tidak,101.29,19.6281,39.5868,5.9231,29.0302,0.02,5.56,0.8130,-0.8726
"SARIMA(1, 0, 9)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,436.14,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(1, 0, 9)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,45.64,19.9530,115.0622,5.7633,111.1723,0.02,18.40,0.8068,-14.8203
"SARIMA(1, 0, 9)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,154.77,19.9255,145.4980,5.9442,142.6300,0.02,23.29,0.8073,-24.2967
"ARIMA(1, 0, 10)",Ya,0.000030,Tidak,0.001000,Tidak,141.75,19.6083,39.2892,5.8975,28.3528,0.02,5.46,0.8134,-0.8446
"SARIMA(1, 0, 10)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,543.65,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(1, 0, 10)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,110.81,19.9279,111.6728,5.7605,107.8461,0.02,17.89,0.8073,-13.9020
"SARIMA(1, 0, 10)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,196.15,19.9019,139.9219,5.9267,136.9201,0.02,22.41,0.8078,-22.3949
"ARIMA(1, 0, 11)",Ya,0.090105,Ya,0.001000,Tidak,81.53,19.5926,38.9353,5.8697,27.6221,0.02,5.35,0.8137,-0.8115
"SARIMA(1, 0, 11)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,363.08,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(1, 0, 11)x(0, 0, 1, 24)",Tidak,0.001727,Tidak,0.001000,Tidak,50.58,19.9086,121.8571,5.7758,118.6268,0.02,19.58,0.8077,-16.7440
"SARIMA(1, 0, 11)x(1, 0, 1, 24)",Tidak,0.001605,Tidak,0.001000,Tidak,226.11,19.8833,143.3005,5.9214,140.0016,0.02,22.90,0.8081,-23.5383
"ARIMA(1, 0, 12)",Ya,0.438505,Ya,0.001000,Tidak,98.55,19.5825,38.5794,5.8497,26.9099,0.02,5.24,0.8139,-0.7785
"SARIMA(1, 0, 12)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,353.72,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(1, 0, 12)x(0, 0, 1, 24)",Tidak,0.081230,Ya,0.001000,Tidak,63.04,19.8958,109.3139,5.7532,105.7333,0.02,17.58,0.8079,-13.2791
"SARIMA(1, 0, 12)x(1, 0, 1, 24)",Tidak,0.069760,Ya,0.001000,Tidak,286.54,19.8706,132.8585,5.9058,129.5566,0.02,21.28,0.8084,-20.0925
"ARIMA(1, 0, 13)",Ya,0.885829,Ya,0.001000,Tidak,95.57,19.5738,38.2102,5.8337,25.8415,0.02,5.08,0.8141,-0.7447
"SARIMA(1, 0, 13)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,238.04,26.1445,225.0219,10.3071,216.9869,0.03,34.87,0.6683,-59.5061
"SARIMA(1, 0, 13)x(0, 0, 1, 24)",Tidak,0.569667,Ya,0.001000,Tidak,62.21,19.8848,106.9884,5.7515,103.3833,0.02,17.22,0.8081,-12.6780
"SARIMA(1, 0, 13)x(1, 0, 1, 24)",Tidak,0.519893,Ya,0.001000,Tidak,327.21,19.8600,128.9882,5.8987,125.5545,0.02,20.67,0.8086,-18.8815
"ARIMA(1, 0, 14)",Ya,0.995894,Ya,0.001000,Tidak,135.66,19.5687,37.8913,5.8183,24.7883,0.02,4.93,0.8142,-0.7156
"SARIMA(1, 0, 14)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,314.62,25.9967,233.1260,10.5876,224.4454,0.03,36.03,0.6720,-63.9428
"SARIMA(1, 0, 14)x(0, 0, 1, 24)",Tidak,0.954857,Ya,0.001000,Tidak,78.55,19.8781,104.5374,5.7483,100.8798,0.02,16.84,0.8082,-12.0585
"SARIMA(1, 0, 14)x(1, 0, 1, 24)",Tidak,0.933059,Ya,0.001000,Tidak,387.77,19.8537,125.3246,5.8916,121.7691,0.02,20.09,0.8087,-17.7682
"ARIMA(1, 0, 15)",Ya,0.999976,Ya,0.001000,Tidak,130.0,19.5656,37.6326,5.8052,24.1719,0.02,4.84,0.8142,-0.6923
"SARIMA(1, 0, 15)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,379.47,25.8440,200.0626,11.1419,193.1123,0.03,31.15,0.6759,-46.8279
"SARIMA(1, 0, 15)x(0, 0, 1, 24)",Tidak,0.998997,Ya,0.001000,Tidak,78.0,19.8736,103.9849,5.7478,100.3039,0.02,16.75,0.8083,-11.9208
"SARIMA(1, 0, 15)x(1, 0, 1, 24)",Tidak,0.997398,Ya,0.001000,Tidak,375.89,19.8495,123.3387,5.8848,119.6561,0.02,19.76,0.8088,-17.1781
"ARIMA(2, 0, 1)",Ya,0.000000,Tidak,0.001000,Tidak,12.29,19.7452,40.1960,6.0238,31.0203,0.02,5.86,0.8108,-0.9307
"SARIMA(2, 0, 1)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,60.61,20.1969,71.4631,5.4051,58.3397,0.02,10.07,0.8020,-5.1026
"SARIMA(2, 0, 1)x(0, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,13.44,20.1970,71.6987,5.4067,59.2359,0.02,10.19,0.8020,-5.1429
"SARIMA(2, 0, 1)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,81.67,20.1533,104.6167,5.8055,98.5772,0.02,16.42,0.8029,-12.0783
"ARIMA(2, 0, 2)",Ya,0.000000,Tidak,0.001000,Tidak,30.97,19.7434,40.2179,6.0289,31.0438,0.02,5.86,0.8108,-0.9328
"SARIMA(2, 0, 2)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,117.32,20.2077,153.5266,5.4156,150.7831,0.02,24.55,0.8018,-27.1655
"SARIMA(2, 0, 2)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,19.06,20.1969,71.6859,5.4075,59.1854,0.02,10.19,0.8020,-5.1407
